Country,Total cases,New cases,Total deaths,New deaths,Total recovered,Active cases,Critical cases,Total cases per 1M pop.
Taiwan,135,,2,,28,105,,6
Tanzania,6,,,,,6,,0.1
Thailand,411,89,1,,42,368,1,6
Togo,9,,,,,9,,1
Trinidad and Tobago,9,,,,,9,,6
Tunisia,54,,1,,1,52,7,5
Turkey,670,,9,,,661,,8
U.S. Virgin Islands,6,3,,,,6,,57
UAE,140,,2,,31,107,2,14
UK,3983,,177,,65,3741,20,59
Ukraine,41,,3,,1,37,,0.9
Uruguay,110,,,,,110,,32
USA,19774,391,275,19,147,19352,64,60
Uzbekistan,33,,,,,33,,1
Vatican City,1,,,,,1,,1248
Venezuela,65,,,,1,64,,2
Vietnam,91,,,,17,74,,0.9
Zambia,2,,,,,2,,0.1
Zimbabwe,1,,,,,1,,0.07
Total:,276472,915,11417,37,91954,173101,7911,35.5
