Country,Total cases,New cases,Total deaths,New deaths,Total recovered,Active cases,Critical cases,Total cases per 1M pop.
Ethiopia,6,,,,,6,,0.05
Mongolia,6,1,,,,6,,2
Guam,5,,,,,5,,30
Puerto Rico,5,,,,,5,,2
Aruba,4,1,,,,4,,37
DRC,4,1,,,,4,,0.04
Kenya,4,,,,,4,,0.07
Seychelles,4,,,,,4,,41
Nigeria,3,,,,1,2,,0.01
Curaçao,3,,,,,3,,18
French Polynesia,3,,,,,3,,11
Gabon,3,,,,,3,,1
Gibraltar,3,,,,2,1,,89
Kyrgyzstan,3,3,,,,3,,0.5
Mayotte,3,,,,,3,,11
St. Barth,3,,,,,3,,304
Saint Martin,3,1,,,,3,,78
Tanzania,3,2,,,,3,,0.05
Barbados,2,,,,,2,,7
Liberia,2,,,,,2,,0.4
Montenegro,2,,,,,2,,3
Namibia,2,,,,,2,,0.8
Saint Lucia,2,,,,,2,,11
U.S. Virgin Islands,2,,,,,2,,19
Cayman Islands,1,,1,,,0,,15
Sudan,1,,1,,,0,,0.02
Nepal,1,,,,1,0,,0.03
Antigua and Barbuda,1,,,,,1,,10
Bahamas,1,,,,,1,,3
Benin,1,,,,,1,,0.08
Bhutan,1,,,,,1,,1
CAR,1,,,,,1,,0.2
Congo,1,,,,,1,,0.2
Equatorial Guinea,1,,,,,1,,0.7
Gambia,1,,,,,1,,0.4
Greenland,1,,,,,1,,18
Guinea,1,,,,,1,,0.08
Vatican City,1,,,,,1,,1248
Mauritania,1,,,,,1,,0.2
Montserrat,1,1,,,,1,,200
St. Vincent Grenadines,1,,,,,1,,9
Somalia,1,,,,,1,,0.06
Suriname,1,,,,,1,,2
Eswatini,1,,,,,1,,0.9
Togo,1,,,,,1,,0.1
Total:,199194,973,7994,27,82783,108417,6417,25.6
